Username,Categories,Subscribers,Country,Visits,Likes,Continent,Cluster
heidizidane9861,Daily Vlogs,19400000,Unknown,12800.0,65,Unknown,1
busyfunltd9692,,19300000,India,4800000.0,14500,Asia,2
sonotek,"Music and Dance, Animation",19300000,India,9800.0,396,Asia,2
ArabGamesNetwork,,19300000,Algeria,190600.0,12800,Africa,2
officialajaysharma07,,19300000,India,517700.0,22000,Asia,2
kbsworldtv,,19300000,Indonesia,3700.0,144,Asia,2
degoboom,"Movies, Animation",19200000,Mexico,156100.0,5200,North America,2
turmadamonica,,19100000,Unknown,115600.0,2000,Unknown,4
CalvinHarris,Music and Dance,19100000,United States,71300.0,3500,North America,4
howridiculous,Video Games,19100000,United States,3700000.0,68300,North America,4
user-fc2ty4qw7q,,19100000,United States,9000.0,21,North America,4
MrDegreeOfficial,,19100000,United States,4000000.0,124900,North America,4
jaanvipatel,,19100000,India,19100000.0,0,Asia,5
ThePoznavatel,"DIY and Life Hacks, Toys",19100000,Russia,2300000.0,33200,Europe,1
shemaroobollywoodcomedy,,19100000,India,15200.0,132,Asia,2
TEDEd,Science and Technology,19100000,United States,303100.0,12400,North America,4
HiBestMan,Video Games,19100000,Russia,1300000.0,49300,Europe,2
